"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper","model.r","additional.r","pvalue_adj"
"791","brain_latent_pc1","~","brain_latent_pc1",0,0.00379737474085506,233.95062329686,0,0.880955469786917,0.895840905242673,NA,NA,0
"794","brain_latent_pc1","~","brain_latent_pc2",0.0124270999269723,0.00873317523923126,1.42297613256941,0.154743074281838,-0.00468960901259798,0.0295438088665425,0.132128181118053,0.00020270881250195,0.168768126331551
"798","brain_latent_pc1","~","brain_latent_pc3",-0.0617766496844508,0.00968201361363202,-6.38055802746145,1.76443748500787e-10,-0.0807530476649961,-0.0428002517039056,0.134913196324521,0.00298772401896974,3.09204821401865e-10
"802","brain_latent_pc1","~","heart_latent_cc1",-0.101445022123553,0.00981960176651669,-10.3308692690028,0,-0.120691087928451,-0.0821989563186541,0.1395747977494,0.00764932544384911,0
"806","brain_latent_pc1","~","heart_latent_cc2",0.0705450155845725,0.0095511925794937,7.38599028314347,1.51212375953946e-13,0.0518250221193586,0.0892650090497863,0.135899925521265,0.00397445321571355,2.84310769371743e-13
"810","brain_latent_pc1","~","heart_latent_cc3",0.0970989711175469,0.00913125310595314,10.6336961631523,0,0.0792020438961593,0.114995898338935,0.140017283923061,0.00809181161751005,0
"814","brain_latent_pc1","~","brain_latent_cc1",-0.0787841284537797,0.0129491598067051,-6.08411121878232,1.17139276056832e-09,-0.104164015304975,-0.0534042416025841,0.134648890229089,0.00272341792353836,2.0136799360246e-09
"818","brain_latent_pc1","~","brain_latent_cc2",0.254255063606316,0.00998974882766779,25.4515972315667,0,0.234675515689486,0.273834611523146,0.174050579206809,0.0421251069012576,0
"822","brain_latent_pc1","~","brain_latent_cc3",0.333108123627851,0.00796937935553119,41.7985025893711,0,0.317488427111873,0.348727820143829,0.229354943803721,0.0974294714981697,0
"826","brain_latent_pc2","~","cardio_latent_agg",0.0117845669665001,0.00953040143013643,1.23652367142015,0.216263972375063,-0.0068946765947763,0.0304638105277765,0.0490439122527422,0.000758740807378477,0.231670134166931
"830","brain_latent_pc2","~","cardio_latent_gvrf",0.0275636336353509,0.0107073712220581,2.57426711596282,0.0100452686615629,0.00657757167101632,0.0485496955996854,0.0494485708398195,0.00116339939445576,0.0121260291932395
"834","brain_latent_pc2","~","cog_latent_g",0.041893303349245,0.00907317971131104,4.61726811131261,3.88824781261121e-06,0.0241101978898159,0.0596764088086742,0.0506102122831884,0.0023250408378247,5.77636814959937e-06
"838","brain_latent_pc2","~","heart_latent_pc1",0.00841257481968865,0.00922581796357521,0.911851377612548,0.361846960076599,-0.00966969611684143,0.0264948457562187,0.0489884802458544,0.000703308800490743,0.378628852418769
"842","brain_latent_pc2","~","heart_latent_pc2",0.0109645154765439,0.00951916525794165,1.1518358153722,0.249388547358993,-0.00769270559190665,0.0296217365449945,0.0490278083437286,0.000742636898364846,0.265576999045185
