"","PC1","PC2","PC3"
"brain_bio.weighted.mean_od_in_tract_uncinate_fasciculus_.left..0.imaging",-0.00704372389699355,0.0807716231462142,-0.0792215974317134
"brain_bio.weighted.mean_od_in_tract_uncinate_fasciculus_.right..0.imaging",-0.0117440920813772,0.0808350333188014,-0.0832880755885004
"brain_bio.weighted.mean_isovf_in_tract_acoustic_radiation_.left..0.imaging",0.00263835816739562,-0.0511489735871695,-0.0500222981543543
"brain_bio.weighted.mean_isovf_in_tract_acoustic_radiation_.right..0.imaging",0.00881530709364016,-0.0372778653686253,-0.0992061427860894
"brain_bio.weighted.mean_isovf_in_tract_anterior_thalamic_radiation_.left..0.imaging",0.0279642068259326,-0.0884373744008359,-0.145798348980103
"brain_bio.weighted.mean_isovf_in_tract_anterior_thalamic_radiation_.right..0.imaging",0.0282283365272628,-0.0961555926186338,-0.146454824363799
"brain_bio.weighted.mean_isovf_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging",-0.00396170382707197,-0.0966782757055077,-0.0853039013598614
"brain_bio.weighted.mean_isovf_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging",-0.00492810730344241,-0.097375368009219,-0.101500905388601
"brain_bio.weighted.mean_isovf_in_tract_corticospinal_tract_.left..0.imaging",0.0331698668864524,-0.0577281073711548,-0.0694195893912798
"brain_bio.weighted.mean_isovf_in_tract_corticospinal_tract_.right..0.imaging",0.0323064420546212,-0.0673162790382632,-0.0906339376418143
"brain_bio.weighted.mean_isovf_in_tract_forceps_major.0.imaging",0.0163092309997107,-0.0299318468993383,-0.00168828519917338
"brain_bio.weighted.mean_isovf_in_tract_forceps_minor.0.imaging",0.00153788060522445,-0.0949493252569985,-0.136194813323619
"brain_bio.weighted.mean_isovf_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging",0.0184754650887831,-0.102260482848987,-0.143325976524557
